1	我看过许多勇敢的人，不怕措折地奋斗，这种精神值得我们学习。	我看过许多勇敢的人，不怕挫折地奋斗，这种精神值得我们学习。
1	有一天的晚上，大家都睡得很安祥，突然一阵巨晃，我们家书贵倒了，这次地震惊动了全国。	有一天的晚上，大家都睡得很安祥，突然一阵巨晃，我们家书柜倒了，这次地震惊动了全国。
1	有几千个人甚至万人，无家可归，受这样大的打击，想必他们很烦脑吧！虽然发生这样的事件，但大家并没有放弃。	有几千个人甚至万人，无家可归，受这样大的打击，想必他们很烦恼吧！虽然发生这样的事件，但大家并没有放弃。
1	我觉得他们拥有不怕固难勇于面对的心，是不在灾区的我们所没有的。	我觉得他们拥有不怕困难勇于面对的心，是不在灾区的我们所没有的。
1	还记得那天零晨正在美好的睡梦中，忽然来一个地牛大翻身，吓坏了全台湾的人。	还记得那天凌晨正在美好的睡梦中，忽然来一个地牛大翻身，吓坏了全台湾的人。
1	一袭强烈的台风扫过大地，为大地带来了新的面貌，强壮的树木经不起大雨的打击，倒了。	一袭强烈的台风扫过大地，为大地带来了新的面貌，强壮的树木禁不起大雨的打击，倒了。
1	人生就是如此，经过磨练才能让自己更加拙壮，才能使自己更加乐观。	人生就是如此，经过磨练才能让自己更加茁壮，才能使自己更加乐观。
1	重新面对阳光时，又是令一种气象，我们不就该像大自然一样坚强地面对未来吗？	重新面对阳光时，又是另一种气象，我们不就该像大自然一样坚强地面对未来吗？
1	一些人可能在生命中出了一件事故，使得往后的人生，从此变的不同，而这场事故又何尝是件坏事呢？	一些人可能在生命中出了一件事故，使得往后的人生，从此变得不同，而这场事故又何尝是件坏事呢？
1	我们应该要像大自然一样，风雨过后，又是一翻新的气象，不要在原地自生自灭。	我们应该要像大自然一样，风雨过后，又是一番新的气象，不要在原地自生自灭。
1	在南韩也发生同样的事情，拥有六百一十年历史的崇礼门，象征着南韩人的精神，也在一夕之门，被火烧得精光。	在南韩也发生同样的事情，拥有六百一十年历史的崇礼门，象征着南韩人的精神，也在一夕之间，被火烧得精光。
1	乐透是每个人都想捉住的，有人只是买好玩，郄不小心中了，有人则是买了几百万次都拿不到。	乐透是每个人都想捉住的，有人只是买好玩，却不小心中了，有人则是买了几百万次都拿不到。
1	逆境往往造究了顺境的完美道路，一次一次的失败，堆叠成一个一个的大成功。	逆境往往造就了顺境的完美道路，一次一次的失败，堆叠成一个一个的大成功。
1	我有个亲人平常就不务正业，一天他出了车祸，还好小命保住了，幸好有这场车祸唤起他浅在的意识，不然他可能要白白荒废一生吧！	我有个亲人平常就不务正业，一天他出了车祸，还好小命保住了，幸好有这场车祸唤起他潜在的意识，不然他可能要白白荒废一生吧！
1	人生又何偿不是如此？没被淘汰留下来的人，必定拥有最坚决的意志力，不会因为任何原因或挫折而放弃希望。	人生又何尝不是如此？没被淘汰留下来的人，必定拥有最坚决的意志力，不会因为任何原因或挫折而放弃希望。
1	拿谢坤山为例，他也是经励了一段很痛苦的人生，因为被高压电电到的关系，少了一只脚、二只手和一个眼睛。	拿谢坤山为例，他也是经历了一段很痛苦的人生，因为被高压电电到的关系，少了一只脚、二只手和一个眼睛。
1	王建民，还没成名之前，待在小联盟默默努力、默默耕耘，这些事情都是在他成为王排投手之前我们所看不到的。	王建民，还没成名之前，待在小联盟默默努力、默默耕耘，这些事情都是在他成为王牌投手之前我们所看不到的。
1	有些人会拿这次的教训来勉励自己，好让自己在打混摸鱼时警悌，使自己比以前更好、更进步。 	有些人会拿这次的教训来勉励自己，好让自己在打混摸鱼时警惕，使自己比以前更好、更进步。 
1	有时候同学的嘻笑怒骂，老师就会大声地拍黑板；下课时间，有些人会在黑板上玩游戏，那也是同学们联络情感的一个管道。	有时候同学的嬉笑怒骂，老师就会大声地拍黑板；下课时间，有些人会在黑板上玩游戏，那也是同学们联络情感的一个管道。
1	看到这些在教室的景物，感觉到这些事物，往后会慢慢减少出现在我眼廉。	看到这些在教室的景物，感觉到这些事物，往后会慢慢减少出现在我眼帘。
2	我们不如一起来珍惜现在所拥有的，以后不致于忘尘莫即啊！	我们不如一起来珍惜现在所拥有的，以后不致于望尘莫及啊！
1	教室中，每一样东西都有特絑的意义，例如：课桌椅是上课时都会用到的，讲桌是老师摆放东西和用棍子敲，以制止同学们讲话用的。	教室中，每一样东西都有特殊的意义，例如：课桌椅是上课时都会用到的，讲桌是老师摆放东西和用棍子敲，以制止同学们讲话用的。
1	既没有废气，也没有森林的芳多精，但很奇妙地却有一股书香味。	既没有废气，也没有森林的芬多精，但很奇妙地却有一股书香味。
1	公佈栏，上面订着我们班努力得到的奖状、大家辛苦创作的作品。	公佈栏，上面钉着我们班努力得到的奖状、大家辛苦创作的作品。
1	黑板则是公共的愉乐场所，同学们总是拿着磁铁往黑板丢，看谁较准。	黑板则是公共的娱乐场所，同学们总是拿着磁铁往黑板丢，看谁较准。
1	这一隅总会毫不客气地吸引大家的注意；时而淡装，时而浓抹，时而流行，时而复古。	这一隅总会毫不客气地吸引大家的注意；时而淡妆，时而浓抹，时而流行，时而复古。
1	有伤心的事件却想竭力隐藏，只告诉我们那些无私的大爱，善行的光茫。	有伤心的事件却想竭力隐藏，只告诉我们那些无私的大爱，善行的光芒。
1	过去的华美，只剩下今日的拼补，丰富的学识更如海绵受到压迫而盪然无存。	过去的华美，只剩下今日的拼补，丰富的学识更如海绵受到压迫而荡然无存。
1	上课时坐在教室内听课，下课时在教室里嘻闹，但你有仔细观察每一个角落吗？ 	上课时坐在教室内听课，下课时在教室里嬉闹，但你有仔细观察每一个角落吗？ 
1	现在己经八年级，每当我抬起头看着时钟，就觉得跟同学相处的时间一分一秒地消失。	现在已经八年级，每当我抬起头看着时钟，就觉得跟同学相处的时间一分一秒地消失。
1	一但停摆，那一整天大家都在互相问时间，果然少了它是不行的。	一旦停摆，那一整天大家都在互相问时间，果然少了它是不行的。
1	看似不重要的时钟，其实早以是我们教室不可或缺的一部分了。	看似不重要的时钟，其实早已是我们教室不可或缺的一部分了。
1	同学们在打打闹闹，这无辜的桌子也免不了遭到池鱼之央的命运。	同学们在打打闹闹，这无辜的桌子也免不了遭到池鱼之殃的命运。
1	又或着被沦为神准大赛的目标物，接着只见五颜六色的粉笔划破了天际。	又或者被沦为神准大赛的目标物，接着只见五颜六色的粉笔划破了天际。
1	不知这磈可怜的黑板最后会变成怎么样呢？	不知这块可怜的黑板最后会变成怎么样呢？
1	最熟悉的地方必定是教室，上课时坐在教室内听课，下课时在教室里嘻闹。	最熟悉的地方必定是教室，上课时坐在教室内听课，下课时在教室里嬉闹。
1	成为垃圾桶可真不简单，还要拥有正面、乐观的思想，在旁人唾弃你时，不能弃馁。	成为垃圾桶可真不简单，还要拥有正面、乐观的思想，在旁人唾弃你时，不能气馁。
1	大家平时为了当上各週第一名，可使出浑身解术，它验证着各小组的进步和退步。	大家平时为了当上各週第一名，可使出浑身解数，它验证着各小组的进步和退步。
1	黑板上有着老师抄得笔记，有着同学们下课涂鸦等有趣的东西。	黑板上有着老师抄的笔记，有着同学们下课涂鸦等有趣的东西。
1	它是个在平凡不过的东西了，但是它却是在我们学习时佔有非常重要的位置。	它是个再平凡不过的东西了，但是它却是在我们学习时佔有非常重要的位置。
1	大家都喜欢利用黑板，把自己的创意展现在黑板上，而有些人却把它拿来玩「圈差」。	大家都喜欢利用黑板，把自己的创意展现在黑板上，而有些人却把它拿来玩「圈叉」。
1	因为这个教室挤了快四十人，当然是既热闹又吵杂，使这个班级有了很不一样的气份。	因为这个教室挤了快四十人，当然是既热闹又吵杂，使这个班级有了很不一样的气氛。
1	等满的时候就要拿去垃圾场倒，外面也会包塑胶带啦！如果没有它，我们的教室一定世界级的脏！	等满的时候就要拿去垃圾场倒，外面也会包塑胶袋啦！如果没有它，我们的教室一定世界级的脏！
1	佈告栏转眼之间从不起眼的丑小鸭变成了高贵优雅的天鹅！谨管这大改造没有得名，但过程也是很可贵的。	佈告栏转眼之间从不起眼的丑小鸭变成了高贵优雅的天鹅！仅管这大改造没有得名，但过程也是很可贵的。
1	学校的课桌椅大不分在上面都有许多的涂鸦，因为这样所以显得每一个课桌椅的独一无二。	学校的课桌椅大部分在上面都有许多的涂鸦，因为这样所以显得每一个课桌椅的独一无二。
1	垃圾桶它无所不在，家里、路上、公车站等都有它的踪蹟，可以算是每个人长大的东西。	垃圾桶它无所不在，家里、路上、公车站等都有它的踪迹，可以算是每个人长大的东西。
1	刚近到教室的那一天，所有大大小小的东西，都是新的。	刚进到教室的那一天，所有大大小小的东西，都是新的。
1	为了佈置它，我交尽脑汁，到书店，翻阅书本，寻找适合的版面，想把教室佈置得很温馨。	为了佈置它，我绞尽脑汁，到书店，翻阅书本，寻找适合的版面，想把教室佈置得很温馨。
1	因为有了大家的工劳，有了它，教室的气氛，温馨了许多。	因为有了大家的功劳，有了它，教室的气氛，温馨了许多。
1	这一块黑板，真的令我深深地敬偑这沉默而伟大的巨人，这样的付出。	这一块黑板，真的令我深深地敬佩这沉默而伟大的巨人，这样的付出。
